"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"BALMLAWRIE","EQ","20-May-2025","217.26","218.10","218.64","210.10","211.50","211.91","213.92","3,68,158","7,87,54,726.72","6,584"
"BALMLAWRIE","EQ","19-May-2025","215.87","217.10","218.48","215.61","217.49","217.26","216.94","3,63,637","7,88,86,601.47","7,659"
"BALMLAWRIE","EQ","16-May-2025","226.78","216.00","218.45","212.11","216.00","215.87","215.68","11,98,118","25,84,10,246.82","19,423"
"BALMLAWRIE","EQ","15-May-2025","219.72","225.00","228.35","223.70","226.39","226.78","226.10","8,18,615","18,50,89,895.19","13,921"
"BALMLAWRIE","EQ","14-May-2025","215.31","217.00","222.19","216.50","219.36","219.72","219.56","4,72,078","10,36,48,752.95","10,741"
"BALMLAWRIE","EQ","13-May-2025","211.64","211.50","216.00","209.99","215.80","215.31","213.92","3,95,336","8,45,70,765.54","8,736"
"BALMLAWRIE","EQ","12-May-2025","202.35","206.69","212.00","206.69","211.65","211.64","209.86","3,99,745","8,38,90,879.83","8,880"
"BALMLAWRIE","EQ","09-May-2025","198.99","192.10","203.40","192.10","202.75","202.35","198.59","3,14,582","6,24,74,226.08","10,751"
"BALMLAWRIE","EQ","08-May-2025","202.81","204.00","205.40","196.90","197.45","198.99","201.86","2,79,447","5,64,08,756.06","8,587"
"BALMLAWRIE","EQ","07-May-2025","201.10","196.81","204.28","196.81","203.50","202.81","202.02","3,26,440","6,59,46,235.06","9,689"
"BALMLAWRIE","EQ","06-May-2025","207.76","207.80","209.19","200.10","201.50","201.10","204.08","3,21,436","6,55,99,936.66","8,528"
"BALMLAWRIE","EQ","05-May-2025","204.29","205.00","209.99","204.50","207.90","207.76","207.55","3,68,422","7,64,64,732.71","11,085"
"BALMLAWRIE","EQ","02-May-2025","200.04","201.00","207.73","199.83","205.00","204.29","204.54","9,20,639","18,83,03,831.53","19,672"
"BALMLAWRIE","EQ","30-Apr-2025","199.97","201.00","212.00","195.19","197.82","200.04","203.43","14,51,081","29,51,96,759.56","30,453"
"BALMLAWRIE","EQ","29-Apr-2025","190.41","193.60","205.80","193.60","200.75","199.97","201.02","13,61,754","27,37,33,081.56","31,685"
